id,fund_category_fund_level,fund_type_fund_level_3,fund_group_fund_level_2,fund_fund_level_1,department_cost_center_level,division_cost_center_level,cost_center_cost_center_level,account_category_account,account_type_account_level,adopted_budget,amended_budget,fiscal_year,account_description,center_value,fund_value,account_value
0,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,39430000.0,39430000.0,2021,Property Tax - Secured Taxes Current,10001,1001,4001
1,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,657600.0,657600.0,2021,Property Tax - Unsecured Taxes Current,10001,1001,4011
2,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,8000.0,8000.0,2021,Property Tax - Unsecured Taxes Prior,10001,1001,4015
3,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,400000.0,400000.0,2021,Property Tax - Supplemental,10001,1001,4021
4,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,595000.0,595000.0,2021,Property Tax - Public Utility Property,10001,1001,4023
5,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,10900700.0,10900700.0,2021,Property Tax - In Lieu,10001,1001,4025
6,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,653000.0,653000.0,2021,Property Tax - ABX1 26 AB1484,10001,1001,4030
7,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,280000.0,280000.0,2021,Property Tax - State Homeowners Tax Relief,10001,1001,4040
8,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,50010000.0,50010000.0,2021,Sales Tax - Sales and Use Tax,10001,1001,4060
9,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,18522600.0,18522600.0,2021,Sales Tax - Measure B,10001,1001,4061
10,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,500000.0,500000.0,2021,Property Transfer Tax,10001,1001,4070
11,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,850000.0,850000.0,2021,Business License Tax,10001,1001,4080
12,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,2265000.0,2265000.0,2021,Hotel Motel Room Tax,10001,1001,4085
13,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Taxes,65000.0,65000.0,2021,Highway Vehicles In Lieu Tax,10001,1001,4090
14,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Licenses & Permits,1000.0,1000.0,2021,Other Licenses or Permits,10001,1001,4190
15,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Charges for Services,150000.0,0.0,2021,Permit Fees - General Plan Update,10001,1001,4207
16,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Charges for Services,2150000.0,2150000.0,2021,Franchise Fees,10001,1001,4273
17,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Charges for Services,40000.0,40000.0,2021,Administrative Fees,10001,1001,4390
18,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Grants & Contributions,16000.0,16000.0,2021,State Mandated Payments,10001,1001,4440
19,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,39994.0,39994.0,2021,Interest Revenue,10001,1001,4451
20,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,7130.0,7130.0,2021,Interest on Notes and Loans,10001,1001,4457
21,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,865542.0,865542.0,2021,Rental Revenue,10001,1001,4480
22,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Other Revenue,15000.0,15000.0,2021,Other Revenue,10001,1001,4790
23,Governmental Activities,General Funds,General,General,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,15335002.0,15349634.0,2021,Transfers In - Operating,10001,1001,4801
24,Governmental Activities,General Funds,General,General Fund Emergency Reserve,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,287219.0,287219.0,2021,Interest Revenue,10001,1010,4451
25,Governmental Activities,General Funds,General,General Fund Stabilization Reserve,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,11191.0,11191.0,2021,Interest Revenue,10001,1011,4451
26,Governmental Activities,General Funds,General,General Fund Stabilization Reserve,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,7272824.0,2021,Transfers In - Operating,10001,1011,4801
27,Governmental Activities,General Funds,General,General Fund Contributions by Developers,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,6433.0,6433.0,2021,Interest Revenue,10001,1020,4451
28,Governmental Activities,General Funds,General,General Fund Contributions by Developers,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,15955.0,15955.0,2021,Interest on Notes and Loans,10001,1020,4457
29,Governmental Activities,General Funds,General,General Fund Contributions by Developers,Non-Classified,Non-Classified,Non-Classified,Revenue,Capital Contributions-Developers & Gov't,400000.0,400000.0,2021,Permit Fees - Contribution For Non-Capital,10001,1020,4601
30,Governmental Activities,General Funds,General,General Fund Contributions by Developers,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,80000.0,405634.0,2021,Transfers In - Loans,10001,1020,4890
31,Governmental Activities,General Funds,General,Strategic Improvement,Non-Classified,Non-Classified,Non-Classified,Revenue,Charges for Services,700000.0,700000.0,2021,Permit Fees - Public Benefit Fee,10001,1030,4212
32,Governmental Activities,General Funds,General,Strategic Improvement,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,199191.0,199191.0,2021,Interest Revenue,10001,1030,4451
33,Governmental Activities,General Funds,General,Strategic Improvement,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,68719.0,68719.0,2021,Interest on Notes and Loans,10001,1030,4457
34,Governmental Activities,General Funds,General,Strategic Improvement,Non-Classified,Non-Classified,Non-Classified,Revenue,Other Revenue,0.0,6984453.0,2021,Sale of Surplus Property,10001,1030,4703
